Geneid	Chr	Start	End	Strand	Length	S1_control	S2_control	S3_control	S4_KO	S5_KO	S6_KO
C1orf170	chr1;chr1;chr1;chr1;chr1	910579;911879;914261;916517;917445	911649;912004;916037;916553;917473	-;-;-;-;-	3040	21	23	25	31	33	36
HES4	chr1;chr1;chr1	934342;934906;935072	934812;934993;935552	-;-;-	1040	22	24	26	32	34	37
ISG15	chr1;chr1	948847;949364	948956;949919	+;+	666	23	25	27	33	35	38
AGRN	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	955503;957581;970657;976045;976553;976858;977336;978619;978918;979203;979489;979714;980541;980739;981113;981344;981540;981777;982200;982707;982953;983156;983392;984247;984616;984946;985283;985613;985807;986106;986633;986833;987108;989133;989828;990204	955753;957842;970704;976260;976777;977082;977542;978837;979112;979403;979637;979819;980657;980903;981256;981468;981645;982115;982337;982834;983067;983275;983745;984439;984831;985175;985417;985709;985971;986217;986749;987025;987195;989357;989931;991499	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	7326	24	26	28	34	36	39
RNF223	chr1;chr1	1007126;1009396	1007955;1009687	-;-	1122	25	27	29	35	37	40
C1orf159	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	1017198;1019733;1019861;1021258;1022519;1022882;1025733;1026852;1027371;1051440	1018367;1019763;1019886;1021392;1022584;1022977;1025808;1026945;1027483;1051736	-;-;-;-;-;-;-;-;-;-	2104	26	28	30	36	38	41
LOC254099	chr1;chr1;chr1	1072397;1076205;1078119	1072490;1076412;1079434	+;+;+	1618	27	29	31	37	39	42
MIR200B	chr1	1102484	1102578	+	95	28	30	32	38	40	43
MIR200A	chr1	1103243	1103332	+	90	29	31	33	39	41	44
MIR429	chr1	1104385	1104467	+	83	30	32	34	40	42	45
TTLL10	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	1109286;1109665;1109804;1114569;1115037;1115414;1115863;1116111;1117121;1117741;1118256;1119300;1120349;1131980;1132473;1132818	1109306;1109701;1109869;1114713;1115233;1115720;1115981;1116240;1117195;1117826;1118427;1119471;1121243;1132096;1132566;1133313	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	3129	31	33	35	41	43	46
TNFRSF18	chr1;chr1;chr1;chr1;chr1	1138888;1139414;1139779;1140750;1141765	1139348;1139616;1139866;1140872;1142089	-;-;-;-;-	1200	32	34	36	42	44	47
TNFRSF4	chr1;chr1;chr1;chr1;chr1;chr1;chr1	1146706;1147084;1147322;1148018;1148372;1149043;1149363	1147005;1147212;1147518;1148084;1148473;1149165;1149548	-;-;-;-;-;-;-	1104	33	35	37	43	45	48
SDF4	chr1;chr1;chr1;chr1;chr1;chr1;chr1	1152288;1153838;1154149;1158624;1159212;1163848;1167272	1153184;1154013;1154307;1158737;1159348;1164326;1167447	-;-;-;-;-;-;-	2138	34	36	38	44	46	49
B3GALT6	chr1	1167629	1170420	+	2792	35	37	39	45	47	50
FAM132A	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	1177826;1178215;1178442;1178824;1179334;1179571;1179761;1181894	1178026;1178293;1178532;1178932;1179485;1179655;1179877;1182102	-;-;-;-;-;-;-;-	1043	36	38	40	46	48	51
UBE2J2	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	1189292;1191425;1192372;1192588;1198726;1200163;1203113;1209046	1190867;1191505;1192510;1192690;1198766;1200210;1203372;1209234	-;-;-;-;-;-;-;-	2437	37	39	41	47	49	52
SCNN1D	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	1215816;1216606;1216791;1217622;1219358;1220951;1221306;1222148;1222489;1222888;1223053;1223319;1225651;1225857;1226017;1226275;1226445;1226634	1216046;1216677;1216990;1217695;1219470;1221044;1221658;1222355;1222679;1222976;1223216;1223417;1225768;1225935;1226074;1226333;1226520;1227409	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	3054	38	40	42	48	50	53
ACAP3	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	1227764;1229203;1229470;1229782;1230098;1230827;1231116;1231395;1231591;1231805;1233202;1233393;1233750;1233947;1234725;1235211;1235353;1235538;1235889;1237368;1238302;1238542;1239466;1243149	1229088;1229313;1229579;1230008;1230196;1230934;1231318;1231489;1231660;1232013;1233313;1233493;1233801;1234059;1234736;1235285;1235448;1235582;1236072;1237426;1238355;1238661;1239523;1243269	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	3759	39	41	43	49	51	54
PUSL1	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	1243994;1244295;1244466;1244834;1245061;1246014;1246289;1246710	1244100;1244352;1244653;1244983;1245231;1246068;1246451;1247057	+;+;+;+;+;+;+;+	1240	40	42	44	50	52	55
CPSF3L	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	1246965;1247398;1247606;1247820;1247973;1248167;1248415;1248889;1249112;1249681;1250204;1250784;1250900;1254676;1255836;1256376;1257288;1258272;1259961	1247304;1247527;1247748;1247881;1248080;1248329;1248504;1248972;1249301;1249745;1250342;1250818;1250998;1254904;1255909;1256473;1257364;1258667;1260067	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	2629	41	43	45	51	53	56
GLTPD1	chr1;chr1;chr1	1260143;1262216;1262621	1260482;1262412;1264276	+;+;+	2193	42	44	46	52	54	57
TAS1R3	chr1;chr1;chr1;chr1;chr1;chr1	1266726;1267018;1267404;1268301;1268639;1268886	1266916;1267318;1268186;1268504;1268759;1269844	+;+;+;+;+;+	2559	43	45	47	53	55	58
DVL1	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	1270658;1273357;1273649;1273902;1274742;1274962;1275116;1275418;1275627;1275790;1277047;1277433;1277743;1278069;1284276	1271895;1273563;1273816;1274033;1274819;1275029;1275192;1275557;1275696;1275883;1277185;1277536;1277864;1278138;1284492	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	2924	44	46	48	54	56	59
MXRA8	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	1288071;1289228;1289410;1289573;1289734;1290062;1290624;1290830;1292061;1293836	1289009;1289308;1289486;1289612;1289889;1290532;1290725;1291132;1292084;1293915	-;-;-;-;-;-;-;-;-;-	2273	45	47	49	55	57	60
AURKAIP1	chr1;chr1;chr1;chr1	1309110;1309380;1310085;1310377	1309282;1309825;1310170;1310818	-;-;-;-	1147	46	48	50	56	58	61
CCNL2	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	1321091;1323157;1323334;1325610;1325839;1326146;1327668;1328776;1330774;1333613;1333977;1334399	1322962;1323249;1323445;1325751;1325943;1326245;1328183;1328840;1330894;1333722;1334051;1334718	-;-;-;-;-;-;-;-;-;-;-;-	3631	47	49	51	57	59	62
LOC148413	chr1;chr1;chr1	1334910;1335538;1335985	1335069;1335683;1337426	+;+;+	1748	48	50	52	58	60	63
MRPL20	chr1;chr1;chr1;chr1	1337276;1341189;1342289;1342511	1337636;1341266;1342399;1342693	-;-;-;-	733	49	51	53	59	61	64
ANKRD65	chr1;chr1;chr1;chr1	1353800;1355432;1356177;1356513	1354929;1355972;1356385;1356824	-;-;-;-	2192	50	52	54	60	62	65
TMEM88B	chr1;chr1	1361508;1362934	1361765;1363167	+;+	492	51	53	55	61	63	66
VWA1	chr1;chr1;chr1	1370903;1372307;1374461	1371201;1372864;1378262	+;+;+	4659	52	54	56	62	64	67
ATAD3C	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	1385069;1387426;1387745;1389725;1390840;1391171;1391605;1392509;1394541;1396130;1397980;1403764	1386138;1387502;1387814;1389880;1390899;1391296;1391729;1392560;1394611;1396297;1398088;1405538	+;+;+;+;+;+;+;+;+;+;+;+	3859	53	55	57	63	65	68
ATAD3B	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	1407164;1412654;1414024;1414429;1416247;1417518;1417925;1420396;1421162;1421490;1421924;1423243;1424584;1425637;1425943;1430865	1407469;1412730;1414125;1414488;1416316;1417683;1417994;1420551;1421218;1421615;1422048;1423294;1424654;1425804;1426051;1431582	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	2433	54	56	58	64	66	69
ATAD3A	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	1447523;1447910;1451392;1452547;1453096;1454301;1455521;1455928;1458124;1458891;1459219;1459653;1460620;1461841;1463075;1464603;1469306	1447853;1448070;1451468;1452792;1453155;1454370;1455686;1455997;1458279;1458947;1459344;1459777;1460671;1461911;1463242;1464711;1470067	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	2807	55	57	59	65	67	70
TMEM240	chr1;chr1;chr1;chr1	1470158;1470969;1475064;1475670	1470887;1471177;1475170;1475740	-;-;-;-	1117	56	58	60	66	68	71
SSU72	chr1;chr1;chr1;chr1;chr1	1477053;1479249;1480243;1500153;1509858	1477547;1479367;1480382;1500296;1510262	-;-;-;-;-	1303	57	59	61	67	69	72
C1orf233	chr1	1533388	1535476	-	2089	58	60	62	68	70	73
MIB2	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	1550795;1551245;1551888;1558769;1559154;1560175;1560371;1560666;1560926;1562030;1562217;1562454;1562676;1563053;1563399;1563653;1563869;1564513;1564765;1565019;1565672	1551013;1551480;1551994;1559079;1559325;1560281;1560565;1560808;1561033;1562134;1562379;1562587;1562824;1563209;1563559;1563779;1564102;1564691;1564946;1565084;1565990	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	3574	59	61	63	69	71	74
MMP23B	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	1567560;1568162;1568360;1568567;1569127;1569368;1569581;1569827	1567753;1568292;1568499;1568734;1569291;1569478;1569707;1570030	+;+;+;+;+;+;+;+	1240	60	62	64	70	72	75
MMP23A	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	1568159;1568567;1569127;1569368;1569581;1569827;1631378;1631786;1632346;1632587;1632800;1633047	1568292;1568734;1569291;1569478;1569707;1570027;1631511;1631953;1632510;1632697;1632926;1633247	+;+;+;+;+;+;+;+;+;+;+;+	1812	61	63	65	71	73	76
CDK11B	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	1571100;1571299;1571695;1572044;1572259;1572443;1572770;1573124;1573862;1575638;1576409;1577023;1577267;1577747;1643703;1647785;1650767;1653035;1654027;1654147;1655706	1571218;1571488;1571843;1572160;1572366;1572564;1572875;1573245;1573952;1575813;1576474;1577181;1577362;1577869;1643866;1647917;1650894;1653150;1654073;1654271;1655775	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	2527	62	64	66	72	74	77
SLC35E2B	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	1592939;1599766;1601103;1601537;1602948;1606902;1607503;1607817;1623888	1597458;1599911;1601175;1601590;1603068;1607029;1607638;1608285;1624243	-;-;-;-;-;-;-;-;-	6003	63	65	67	73	75	78
CDK11A	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	1634170;1634519;1634915;1635263;1635478;1635662;1635989;1636343;1637081;1638848;1639619;1640233;1640477;1640957;1643703;1647785;1650767;1653035;1654147;1655697	1634438;1634708;1635063;1635379;1635585;1635783;1636094;1636464;1637171;1639023;1639684;1640391;1640572;1641079;1643839;1647917;1650894;1653150;1654270;1655791	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	2627	64	66	68	74	76	79
SLC35E2	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	1656277;1658824;1666129;1669760;1670361;1670675;1675690;1677163	1656861;1663962;1666274;1669887;1670496;1671143;1676107;1677438	-;-;-;-;-;-;-;-	7297	65	67	69	75	77	80
NADK	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	1682671;1685006;1685490;1685723;1685983;1686813;1687697;1687942;1688546;1689804;1690540;1691173;1693391;1696667;1709728;1710185;1711344	1684499;1685088;1685647;1685822;1686137;1686915;1687782;1688096;1688749;1690081;1690682;1691341;1693474;1696885;1709909;1710297;1711508	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	4226	66	68	70	76	78	81
GNB1	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	1716725;1718761;1720492;1721834;1724684;1735858;1737914;1747195;1749276;1756836;1770629;1822259	1718492;1718876;1720708;1722035;1724750;1736020;1737977;1747301;1749314;1756938;1770677;1822526	-;-;-;-;-;-;-;-;-;-;-;-	3163	67	69	71	77	79	82
CALML6	chr1;chr1;chr1;chr1;chr1;chr1	1846266;1847124;1847880;1848191;1848413;1848586	1846746;1847174;1848054;1848335;1848513;1848733	+;+;+;+;+;+	1101	68	70	72	78	80	83
TMEM52	chr1;chr1;chr1;chr1;chr1	1849029;1849692;1850332;1850484;1850621	1849601;1849870;1850373;1850527;1850740	-;-;-;-;-	958	69	71	73	79	81	84
KIAA1751	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	1884752;1888059;1890559;1891403;1895188;1896327;1897810;1900074;1902098;1903419;1904376;1905464;1916825;1918376;1919951;1920328;1922329;1935140	1887289;1888223;1890648;1891469;1895306;1896500;1897965;1900272;1902255;1903521;1904486;1905637;1916929;1918474;1920094;1920412;1922414;1935276	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	4710	70	72	74	80	82	85
GABRD	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	1950768;1956381;1956773;1956957;1959016;1959594;1960550;1960990;1961422	1950930;1956493;1956840;1957177;1959098;1959731;1960705;1961201;1962192	+;+;+;+;+;+;+;+;+	1925	71	73	75	81	83	86
PRKCZ	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	1981909;1986880;1987923;1990980;2005086;2005425;2036155;2066701;2075649;2077466;2080311;2082229;2087434;2100957;2103494;2103740;2105336;2106193;2106663;2116022;2116361	1982140;1987001;1988012;1991030;2005368;2005714;2036334;2066786;2075780;2077547;2080363;2082417;2087531;2101043;2103629;2103827;2105455;2106272;2106752;2116137;2116834	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	3079	72	74	76	82	84	87
C1orf86	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	2115899;2117443;2118277;2120988;2123334;2125078;2125437;2126127;2129446;2130193;2134875;2137744;2137954;2138995;2143811;2143988	2116952;2117688;2118645;2121220;2124414;2125349;2125572;2126214;2129581;2132664;2135069;2137863;2138106;2139172;2143897;2144159	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	6992	73	75	77	83	85	88
SKI	chr1;chr1;chr1;chr1;chr1;chr1;chr1	2160134;2234417;2234724;2235279;2235732;2237459;2238016	2161174;2234542;2234839;2235541;2236024;2237689;2241652	+;+;+;+;+;+;+	5707	74	76	78	84	86	89
MORN1	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	2252696;2255536;2267908;2268156;2288871;2290031;2303920;2305900;2316417;2317246;2318858;2319678;2321364;2322897	2253018;2255582;2267987;2268289;2289037;2290154;2304030;2305996;2316504;2317336;2318968;2319776;2321435;2322993	-;-;-;-;-;-;-;-;-;-;-;-;-;-	1641	75	77	79	85	87	90
LOC100129534	chr1	2281853	2284100	-	2248	76	78	80	86	88	91
RER1	chr1;chr1;chr1;chr1;chr1;chr1;chr1	2323214;2327223;2328555;2330854;2332296;2333646;2334474	2323397;2327310;2328659;2330953;2332374;2333781;2336885	+;+;+;+;+;+;+	3104	77	79	81	87	89	92
PEX10	chr1;chr1;chr1;chr1;chr1;chr1	2336241;2337923;2338159;2339891;2341810;2343830	2337273;2338058;2338394;2340297;2341890;2344010	-;-;-;-;-;-	2074	78	80	82	88	90	93
PLCH2	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	2407754;2409915;2411173;2411622;2415887;2418346;2418612;2419037;2420646;2421199;2422631;2426295;2426927;2428046;2428267;2428941;2429962;2430183;2430523;2431080;2433551;2435361	2408151;2410061;2411416;2411751;2416057;2418439;2418815;2419157;2420817;2421306;2422774;2426387;2427009;2428143;2428449;2429048;2430086;2430267;2430669;2431159;2433848;2436964	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	4837	79	81	83	89	91	94
PANK4	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	2439975;2441301;2441496;2442117;2442777;2443067;2444327;2445441;2445793;2447001;2449603;2449955;2450582;2451240;2451761;2452162;2452540;2453157;2457903	2440499;2441369;2441596;2442221;2442826;2443122;2444478;2445528;2445905;2447156;2449703;2450036;2450763;2451393;2451853;2452345;2452754;2453239;2458035	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	2642	80	82	84	90	92	95
HES5	chr1;chr1;chr1	2460184;2461285;2461550	2461188;2461450;2461684	-;-;-	1306	81	83	85	91	93	96
LOC115110	chr1;chr1	2481359;2482431	2481713;2484284	-;-	2209	82	84	86	92	94	97
LOC100133445	chr1;chr1	2487208;2488416	2488135;2488450	-;-	963	83	85	87	93	95	98
TNFRSF14	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	2487805;2489165;2489782;2491262;2492063;2493112;2494304;2494587	2488172;2489273;2489907;2491417;2492153;2493254;2494335;2495267	+;+;+;+;+;+;+;+	1706	84	86	88	94	96	99
FAM213B	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	2517899;2518189;2518530;2519180;2519775;2519969;2520361;2520849	2518030;2518387;2518734;2519231;2519892;2520064;2520479;2522908	+;+;+;+;+;+;+;+	2981	85	87	89	95	97	100
MMEL1	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	2522081;2522996;2523371;2524094;2524272;2525253;2525824;2526229;2526715;2527448;2528000;2529646;2530093;2535323;2535586;2536997;2537687;2538413;2540778;2541109;2542720;2543566;2560770;2564305	2522528;2523072;2523466;2524159;2524405;2525372;2525882;2526332;2526798;2527546;2528128;2529739;2530229;2535412;2535720;2537062;2537805;2538508;2540858;2541270;2542779;2543643;2560960;2564481	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	2902	86	88	90	96	98	101
TTC34	chr1;chr1;chr1;chr1;chr1;chr1;chr1	2572807;2575703;2576732;2700154;2702384;2704046;2706068	2573334;2575917;2577002;2700320;2702588;2704271;2706230	-;-;-;-;-;-;-	1775	87	89	91	97	99	102
ACTRT2	chr1	2938046	2939467	+	1422	88	90	92	98	100	103
FLJ42875	chr1;chr1;chr1;chr1;chr1;chr1	2976181;2976794;2977065;2977671;2980636;2983901	2976301;2976847;2977168;2980619;2980866;2984289	-;-;-;-;-;-	3848	89	91	93	99	101	104
PRDM16	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	2985742;3102689;3160651;3301716;3313055;3319355;3321303;3322059;3327948;3331124;3334392;3335231;3342145;3342615;3347436;3348530;3350241	2985860;3103038;3160701;3301850;3313157;3319562;3321450;3322212;3329364;3331211;3334561;3335308;3342314;3342789;3347672;3348704;3355185	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	8723	90	92	94	100	102	105
MIR4251	chr1	3044539	3044599	+	61	91	93	95	101	103	106
ARHGEF16	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	3371147;3379630;3382712;3383732;3385444;3385997;3389642;3389957;3391272;3392534;3394439;3394988;3396081;3396376;3397012	3371375;3380236;3382757;3383901;3385500;3386157;3389794;3390086;3391346;3392626;3394590;3395176;3396154;3396477;3397677	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	2904	92	94	96	102	104	107
MEGF6	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	3404506;3407476;3409203;3410335;3410560;3410935;3411177;3412454;3413219;3413552;3413797;3414935;3415262;3415702;3416152;3416360;3417197;3417530;3417741;3418360;3421772;3421986;3422672;3424359;3425122;3425639;3426434;3427347;3428114;3428570;3431114;3431966;3440688;3496389;3511902;3519030;3527702	3407153;3407523;3409331;3410463;3410688;3411063;3411305;3412582;3413347;3413683;3413925;3415063;3415390;3415830;3416280;3416488;3417328;3417658;3417872;3418485;3421906;3422120;3422800;3424487;3425253;3425809;3426556;3427466;3428251;3428692;3431236;3432091;3440810;3496493;3512011;3519164;3528059	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	7439	93	95	97	103	105	108
MIR551A	chr1	3477260	3477354	-	95	94	96	98	104	106	109
TPRG1L	chr1;chr1;chr1;chr1;chr1	3541556;3541988;3542277;3544064;3544973	3541837;3542079;3542453;3544217;3546694	+;+;+;+;+	2427	95	97	99	105	107	110
